bertopic_id,bertopic_name,proposed_safety,safety_rationale,supporting_patent_numbers,evidence_patent_number,evidence_location,exact_evidence_excerpt,safety_evidence_terms,evidence_status,evidence_selection_reason,evidence_source_file,human_safety_judgment,human_harm_link,cascade_role,plausible_cascade_path,scope_limitation,reviewer_confidence,reviewer_note
29,29_module_intelligent_service_display,DIRECT,Safety mechanism detected via keyword analysis of 9 patents; PERCEPTION: Strong keyword presence (9 distinct terms) in evidence texts; PLANNING_DECISION: Moderate keyword presence (2 distinct terms); MOTION_CONTROL: Marginal keyword presence (1 terms) — background or application context; ACTUATION_MECHANICS: Strong keyword presence (6 distinct terms) in evidence texts; SAFETY_MONITORING: Marginal keyword presence (1 terms) — background or application context; EMERGENCY_FAILSAFE: Moderate keyword presence (3 distinct terms); HRI_INTERFACE: Moderate keyword presence (3 distinct terms); SYSTEM_INTEGRATION: Moderate keyword presence (3 distinct terms),CN112578716B;CN104375417B;CN113858158A;CN103759734A;TW201634200A;CN215252430U;CN106891338A;KR200435980Y1;CN122260507A,CN112578716B,CLAIM,"1. A humanoid robot control system for shoes and clothes display, comprising a power supply module, a chassis control module, a network control module, a model motion control module and a visual voice module, further comprising a PC end software system; the power supply module comprises a power supply and a power supply electric quantity display device; the chassis control module comprises an industrial computer, a chassis control plate, a laser radar, a lamp belt controller, a coulometer, an anti-collision switch, an emergency stop switch, an ultrasonic wave, an IR receiver, a motor driver and a motor; the network control module comprises a switch and a router; the visual voice module comprises a camera, a core plate, a microphone bottom plate, a microphone array, a",collision;emergency stop;collision,FOUND,BERTopic_representative,topic_summary.csv,INCIDENTAL,INDIRECT,SAFETY_BARRIER,视觉、语音或网络命令 → 服务行为与底盘规划 → 电机和展示动作；防碰撞开关及急停应中断动作，若通信模式、运动状态和安全开关不同步，机器人可能继续靠近人员。,主题高度混杂，包含展示、接待、警务、交通提示和服务机器人；安全装置通常是附属组件。,MEDIUM,急停和防碰撞机制属于安全屏障，但代表发明的主要目的仍是服务或展示，不能自动认定为核心安全主题。
32,32_action_data_sequence_motion,PARTIAL,Safety mechanism detected via keyword analysis of 8 patents; PERCEPTION: Strong keyword presence (5 distinct terms) in evidence texts; STATE_ESTIMATION: Moderate keyword presence (3 distinct terms); PLANNING_DECISION: Moderate keyword presence (3 distinct terms); MOTION_CONTROL: Moderate keyword presence (4 distinct terms); ACTUATION_MECHANICS: Strong keyword presence (5 distinct terms) in evidence texts; SAFETY_MONITORING: Marginal keyword presence (1 terms) — background or application context; EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context,CN106078752B;CN121132640B;CN122008250A;CN119610085A;CN121552445B;CN122353572A;KR101460140B1;CN121704883B,CN106078752B,CLAIM,"[CLAIM 1] 1. A humanoid robot based on human behaviour simulating method of Kinect, based on the collected from the Kinect RGB-D image extracted from the human framework information, constructing the motion model of human movement chain, and mapping the operation to the robot motion model in real time, the real-time action imitate the continuous image sequence, starting and ending time point of the human-action are contained in the image sequence is unknown, by mapping model and a balance control mechanism the feature is that it includes the following step : 1) establishing collecting motion data, the motion data processing and joint configuration of three modules, the action data collecting module is responsible for constructing human body action of the abstract model, the motio",balance,FOUND,BERTopic_representative,topic_summary.csv,PARTIAL,INDIRECT,PROPAGATION_NODE,人体姿态或多模态指令 → 动作映射及逆运动学 → 平衡和自碰撞校正 → 人形机器人关节指令；时序、坐标系或人体—机器人形态映射错误可能产生失稳、碰撞或非预期接触。,主题混合动作模仿、多模态控制、OTA和VLA应用；人体伤害未被直接描述。,HIGH,这是较清晰的信息—控制传播链，平衡和自碰撞约束构成局部屏障，但总体发明目标仍是动作生成。
33,33_path_grid_map_point,PARTIAL,Safety mechanism detected via keyword analysis of 9 patents; PERCEPTION: Strong keyword presence (9 distinct terms) in evidence texts; STATE_ESTIMATION: Moderate keyword presence (3 distinct terms); PLANNING_DECISION: Strong keyword presence (7 distinct terms) in evidence texts; EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context; HRI_INTERFACE: Moderate keyword presence (2 distinct terms); SYSTEM_INTEGRATION: Moderate keyword presence (2 distinct terms),CN120742904B;CN119469168B;CN117590747A;CN120909299A;CN119309582A;CN120213071A;CN121783173A;CN105843222A;CN122258922A,CN120742904B,CLAIM,"1. A four-foot robot obstacle avoidance control method based on path planning, wherein The method comprises the following steps : obtaining environmental point cloud data, image data and motion speed data of a four-foot robot, generating semantic point cloud data by performing terrain semantic segmentation and semantic pixel back projection on the image data, and combining the semantic point cloud data with the motion compensated environmental point cloud data to construct a semantic marking grid map; performing global path search on the semantic annotation grid map to generate a global smooth path; when the four-foot robot travels along the global smooth path, the path node on the global smooth path is extracted with a fixed step distance, and the terrain type and the grid occupi",avoidance;obstacle,FOUND,BERTopic_representative,topic_summary.csv,DIRECT,INDIRECT,SAFETY_BARRIER,点云和图像 → 语义栅格地图 → 全局及局部路径规划 → 多级避障和足端轨迹 → 四足机器人运动；地图、障碍等级或重规划时序不一致可能导致实际碰撞。,证据集中于四足及其他非人形巡检机器人；对人员的伤害属于间接推断，只能用于跨平台机制比较。,HIGH,多级避障和重规划是明确的碰撞预防屏障，但不能直接验证人形机器人样本中的发生率。
37,37_foot_sole_heel_arch,PARTIAL,Safety mechanism detected via keyword analysis of 9 patents; PERCEPTION: Moderate keyword presence (2 distinct terms); ACTUATION_MECHANICS: Strong keyword presence (6 distinct terms) in evidence texts; EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context,CN118928586B;CN120697869B;CN120621535B;CN113349762A;CN223934846U;CN120461477A;CN221214319U;CN200967506Y;CN121608822A,CN120697869B,ABSTRACT,"The invention discloses a humanoid robot bionic foot with autonomous terrain testing ability, which includes a front sole component and a rear sole component that are flexibly connected through the sole fascia. The support connecting frame and the arch component are hinged to form a space transmission structure, which cooperates with the fascia to form an arched composite support. Its innovative points are : the locust-like foot pad realizes segmented flexibility and local fit buffering; the plantar fascia and arched arch absorb impact in the early stage of gait and reduce rigid body transmission; the dorsal muscle-imitating elastic sheet and the Achilles tendon-imitating elastic sheet store and release energy in the second half of gait to improve dynamic stability; pressure sensors are",stability,FOUND,BERTopic_representative,topic_summary.csv,PARTIAL,INDIRECT,SAFETY_BARRIER,足底压力及地形接触 → 压力中心和地面状态判断 → 足弓柔顺、缓冲与整机平衡 → 步态执行；传感、载荷与柔性结构能力不匹配可能造成支撑失败和跌倒。,主要证明机器人自身稳定、缓冲和地形适应；人员伤害为跌倒后的间接推断，且含少量四足污染。,MEDIUM,柔顺足底和冲击吸收可作为机械安全屏障，但安全并非所有专利的主要贡献。
40,40_wheel_leg_wheel leg_wheel legged,PARTIAL,Safety mechanism detected via keyword analysis of 6 patents; PERCEPTION: Moderate keyword presence (2 distinct terms); PLANNING_DECISION: Marginal keyword presence (1 terms) — background or application context; MOTION_CONTROL: Moderate keyword presence (2 distinct terms); ACTUATION_MECHANICS: Moderate keyword presence (4 distinct terms); EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context; SYSTEM_INTEGRATION: Marginal keyword presence (1 terms) — background or application context,CN119024875B;CN116774713A;CN101982809B;CN112975978B;CN121756299A;CN118056744A,CN119024875B,CLAIM,"1. A balance control method of wheel-leg type robot, wherein the wheel-leg type robot is simplified into n-order inverted pendulum model, the n-order inverted pendulum model comprises : wheels, n connecting rods and n rotating joints, the wheel and the first connecting rod in the n connecting rods are connected through the first rotating joint in the n rotating joints, the n connecting rod is connected through n-1 rotating joints except the first rotating joint in series, the first connecting rod is the equivalent connecting rod corresponding to at least two leg mechanisms of the wheel-leg robot, the wheel is the equivalent moving wheel corresponding to the moving wheel respectively connected with at least two leg mechanisms, n is a positive integer greater than or equal to 2; Th",balance,FOUND,BERTopic_representative,topic_summary.csv,DIRECT,INDIRECT,SAFETY_BARRIER,机器人姿态和运动状态 → 等效倒立摆状态及滑模面 → 轮腿力矩分配 → 关节与轮毂执行；模型、状态估计和执行器约束不一致可能使平衡控制失效并导致跌倒或碰撞。,主要是轮腿和多足机器人，不是人形机器人；人体风险为间接推断。,HIGH,平衡控制是明确的稳定性保护机制，但只能作为非人形平台的Cascade机制对照。
47,47_fault_health_state_data,DIRECT,Safety mechanism detected via keyword analysis of 8 patents; PERCEPTION: Moderate keyword presence (2 distinct terms); STATE_ESTIMATION: Marginal keyword presence (1 terms) — background or application context; ACTUATION_MECHANICS: Marginal keyword presence (1 terms) — background or application context; SAFETY_MONITORING: Marginal keyword presence (1 terms) — background or application context; EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context; HRI_INTERFACE: Marginal keyword presence (1 terms) — background or application context,CN121200084B;CN120029227B;US11511431B2;CN121580141B;CN120533752A;CN119717618B;CN118927306A;EP1842630A1,CN121200084B,CLAIM,"1. A human-shaped robot state monitoring method, wherein it is applied to the controller in the human-shaped robot, the method comprises : obtaining the multi-modal information data of the humanoid robot, the multi-modal information data is used for representing the multi-dimensional physical information sensed by the humanoid robot in the current anthropomorphic functional scene, the multi-modal information data comprises energy state data, an external environment data and posture dynamics data, the energy state data is used for representing the energy using condition of the humanoid robot, the external environment data is used for representing the external environment condition of the humanoid robot, the posture dynamics data is used for representing the body movement condition",monitor,FOUND,BERTopic_representative,topic_summary.csv,DIRECT,INDIRECT,SAFETY_BARRIER,能源、环境、姿态及关节数据 → 健康和故障概率融合 → 异常判定 → 维护、状态更新或跌倒控制；错误校准或模式不一致可能把不安全机器人判断为健康并延迟缓解措施。,部分“健康”指标面向机器人寿命、维护和用户体验；人员伤害没有被直接报告。,HIGH,主题整体覆盖故障诊断、状态监测、关节寿命和跌倒控制，属于较强的故障响应安全屏障。
62,62_electrode_measurement electrode_108_elements,PARTIAL,Safety mechanism detected via keyword analysis of 8 patents; PERCEPTION: Moderate keyword presence (2 distinct terms); MOTION_CONTROL: Marginal keyword presence (1 terms) — background or application context; ACTUATION_MECHANICS: Moderate keyword presence (4 distinct terms); SYSTEM_INTEGRATION: Marginal keyword presence (1 terms) — background or application context,DE102019107851B4;US20250241544A1;FR3084002A1;US63484517P0;CA3134287A1;FR3083728A1;FR3084002B1;US20250219277A1,DE102019107851B4,ABSTRACT,"A robot gripper includes : a drive unit to drive a powertrain with active elements, wherein each element has a working region arranged in a body-fixed manner relative to the robot gripper, a respective element being moveable in and capable of reaching the working region; a control unit to control the drive unit; and a sensor system connected to the control unit to ascertain forces/moments applied externally to individual elements, the control unit configured such that collision monitoring is capable of being carried out for the elements, and when a collision is detected for an element, the drive unit is actuated according to a specified operation, including : providing a defined region within the working region for the elements, and collision monitoring for the elements only whe",collision;collision;monitor,FOUND,BERTopic_representative,topic_summary.csv,UNCLEAR,UNCLEAR,UNCLEAR,候选链条为外力检测 → 带空间区域门控的碰撞监测 → 驱动响应；若区域边界或门控状态错误，碰撞监测可能在实际危险区域被关闭。但该链条目前只能归属于单个夹持器专利。,主题严重混合机器人夹持器、血压测量、电极及传输线等不相关专利，且代表机器人并非人形机器人。,LOW,无法把单个夹持器碰撞监测机制推广到整个Topic；建议保持UNCLEAR，并在建图前拆分或排除该主题。
65,65_social_reasoning_instruction_remote,NOT_SAFETY,No substantial safety mechanism found in evidence texts; PERCEPTION: Strong keyword presence (7 distinct terms) in evidence texts; STATE_ESTIMATION: Marginal keyword presence (1 terms) — background or application context; PLANNING_DECISION: Strong keyword presence (7 distinct terms) in evidence texts; MOTION_CONTROL: Marginal keyword presence (1 terms) — background or application context; ACTUATION_MECHANICS: Moderate keyword presence (3 distinct terms); EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context; HRI_INTERFACE: Moderate keyword presence (3 distinct terms); SYSTEM_INTEGRATION: Moderate keyword presence (3 distinct terms),CN120620231B;CN117103261B;CN121989231A;CN121290419A;CN120572534A;CN121290419B;CN120416181A;KR1020100003097A;CN122231896A,,,,,INSUFFICIENT,,,PARTIAL,INDIRECT,PROPAGATION_NODE,操作者意图或人机接触任务 → 语义解析与期望校准 → 无线通信或高层动作锚点 → 全身控制命令；若意图、时序、坐标、接触阶段或禁止动作边界在接口间不一致，即使各模块分别按自身输入正确运行，仍可能产生非预期全身运动或身体接触并伤及人员；互锁验证和并行监控构成阻断屏障。,主题较混杂；主要是信息—控制传播链，部分专利同时包含安全互锁屏障。专利没有明确报告人员受伤。,MEDIUM,原文支持从人机输入、通信、规划到全身控制的跨系统传播链，并包含物理接触场景。未明确描述人员受伤，因此标记为INDIRECT；主题内部分远程操控专利包含互锁和安全解锁机制，但主题的主要Cascade角色仍为PROPAGATION_NODE。
74,74_target_foot_state data_landing,NOT_SAFETY,No substantial safety mechanism found in evidence texts; STATE_ESTIMATION: Marginal keyword presence (1 terms) — background or application context; MOTION_CONTROL: Marginal keyword presence (1 terms) — background or application context; EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context,HK40071432B;CN114474034B;EP4116782A1;WO2022089195A1;WO2022048472A1;EP4144487C0;EP4144487B1;CN112051797B;CN121704503A,,,,,INSUFFICIENT,,,DIRECT,INDIRECT,PROPAGATION_NODE,感知及历史状态 → 世界模型或落脚点规划 → 质心、接触力与摩擦约束 → 期望关节角和关节力矩；若地形法向量、摩擦系数、接触相位或状态时间戳在模块间不一致，各模块即使分别正确求解，整体仍可能选择实际上不稳定的落脚点并导致打滑或跌倒，进而可能撞击附近人员。,代表专利覆盖一般足式机器人，包括二足、四足和六足，并非严格的人形机器人证据；人员伤害是间接推断。,MEDIUM,原文支持状态估计、落脚点规划、接触约束与关节控制之间的传播链，并明确涉及打滑、跌倒和运动故障风险；但代表专利适用于一般足式机器人，且未直接描述人员受伤，因此标记为INDIRECT/PROPAGATION_NODE，并保留非人形机器人范围限制。
76,76_elements_elements articulation_articulation_given,NOT_SAFETY,No substantial safety mechanism found in evidence texts; ACTUATION_MECHANICS: Marginal keyword presence (1 terms) — background or application context; EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context,JP6556167B2;JP2017516672A;IN201617039124A;KR1020170021800A;JP6449337B2;FR3021572A1;DE102007022973A1,,,,,INSUFFICIENT,,,DIRECT,DIRECT,SAFETY_BARRIER,正常关节运动接近行程端或执行器发生异常 → 相邻刚性部件夹住人体手指，或活动部件产生过大止挡力 → 柔性皮肤限制夹持力，或阈值开关触发急停/断电；若柔性区域、允许行程、触发阈值、开关或断电链之间不匹配，最后安全屏障可能失效并导致夹伤或撞击伤害。,主题包含防夹手柔性结构和过力急停两类安全屏障；二者机制不同，但都针对人形机器人关节安全。,HIGH,专利原文明示人形机器人关节可能夹伤附近人员手指，并提供柔性防夹结构、过力检测开关及急停/断电机制。人体伤害关联明确，故标记为DIRECT；这些机制主要用于阻断上游运动或执行器异常，故标记为SAFETY_BARRIER。
