bertopic_id,deepseek_safety_score,deepseek_safety_category,bertopic_name,bertopic_count,safety_score,safety_category,rationale,llm_score,llm_category,llm_confidence,keyword_score,keyword_category,keyword_matched,fusion_rule,api_ok,api_error,requested_model,response_model,response_id,request_temperature,request_max_tokens,started_at_utc,finished_at_utc,deepseek_candidate,kimi_candidate,binary_agree,score_difference,category_agree
10,0,not_safety,10_grabbing_hand_task_humanoid,133,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-Bj3iQTKBBW7ZiasWHTzjQI49,1.0,2048,2026-07-31T06:49:24.306448+00:00,2026-07-31T06:50:03.642460+00:00,False,False,True,0,True
11,0,not_safety,11_toy_left_doll_game,119,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-pEyEAbYxIiOSWhF7GlAFIT3N,1.0,2048,2026-07-31T06:49:28.736401+00:00,2026-07-31T06:49:53.174333+00:00,False,False,True,0,True
12,2,fail_safe_emergency,12_bearing_shaft_motor_output,113,2,fail_safe_emergency,"[llm_low] The abstract mentions an electromagnetic safety brake, but the overall topic is an integrated mechanical joint/transmission, making safety connection weak and peripheral.",2.0,fail_safe_emergency,0.85,1,force_control,torque sensor,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-BEYdqTPk3JnnPAbGoyB0Xtfm,1.0,2048,2026-07-31T06:49:31.106707+00:00,2026-07-31T06:50:11.690158+00:00,True,True,True,0,True
13,0,not_safety,13_connecting_shell_piece_second,104,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-l1xHPsCvCKrec4ZLlPbNX8Sy,1.0,2048,2026-07-31T06:49:33.302016+00:00,2026-07-31T06:50:05.150862+00:00,False,False,True,0,True
14,0,not_safety,14_training_target_target body_plate,104,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-zVl4X2uyngVM8xhlM8PsNX9G,1.0,2048,2026-07-31T06:49:53.174842+00:00,2026-07-31T06:50:05.525853+00:00,False,False,True,0,True
15,2,safe_control,15_point_point cloud_cloud_map,95,3,collision_protection,"[llm_low] The abstract describes obstacle avoidance and safety/stability during target following for a legged robot, but the focus is navigation rather than explicit human protection in a humanoid.",3.0,collision_protection,0.75,1,stability_balance,stability,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-SQYrCsLfcp53szKSI4STNjKe,1.0,2048,2026-07-31T06:50:03.643056+00:00,2026-07-31T06:50:17.998497+00:00,True,True,True,1,False
16,1,stability_balance,16_test_testing_plate_device,92,1,not_safety,[llm_low] Joint module performance testing system for measuring compression resistance and stability; no explicit human-protection or hazard-prevention purpose described in the abstract.,1.0,not_safety,0.9,1,stability_balance,stability,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-0nby7zkZn8M4KIGmg2toedfm,1.0,2048,2026-07-31T06:50:05.150862+00:00,2026-07-31T06:50:20.329542+00:00,False,False,True,0,False
17,0,not_safety,17_data_task_semantic_humanoid robot,89,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-L0t2uyYIxlh3ocJJIkx7nHk3,1.0,2048,2026-07-31T06:50:05.526500+00:00,2026-07-31T06:50:18.879002+00:00,False,False,True,0,True
18,1,stability_balance,18_plate_bridge_ladder_rod,89,1,stability_balance,[keyword_low] Matched: stability,0.0,not_safety,0.98,1,stability_balance,stability,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-Zn8pVjLw11958DK3pEQNC9XE,1.0,2048,2026-07-31T06:50:11.691164+00:00,2026-07-31T06:50:20.548896+00:00,False,False,True,0,True
19,0,not_safety,19_joint_wrist_connecting_knee joint,88,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-Y0j6tu8W7OaFJbheogQHAgZp,1.0,2048,2026-07-31T06:50:17.999502+00:00,2026-07-31T06:50:22.497628+00:00,False,False,True,0,True
20,0,not_safety,20_layer_skin_textile_bionic,84,0,not_safety,"[filtered] LLM(1, conf=0.85) without keyword support; treated as not_safety.",1.0,not_safety,0.85,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-sUudfUF8hS2tAQOLH0rUkktz,1.0,2048,2026-07-31T06:50:18.880496+00:00,2026-07-31T06:50:38.743455+00:00,False,False,True,0,True
21,0,not_safety,21_decision_semantic information_semantic_information,83,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-kVsRoEQWOqrwHNz7eAVLKro4,1.0,2048,2026-07-31T06:50:20.329542+00:00,2026-07-31T06:50:37.331481+00:00,False,False,True,0,True
22,5,collision_protection,22_force_external force_human robot_robot,82,5,safe_control,[llm_low] Abstracts describe detecting external forces on the robot during human collaboration and commanding safety assurance operations (retreat or stop) when forces exceed thresholds to reduce hazardous contact.,5.0,safe_control,0.95,1,force_control,force sensor,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-DCkkMJKW6BUxQszyfA4qc3mE,1.0,2048,2026-07-31T06:50:20.548896+00:00,2026-07-31T06:50:38.553627+00:00,True,True,True,0,False
23,0,not_safety,23_image_vehicle_images_camera,81,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-7LtwNqmkl0pKOF1UVxJuIJ3E,1.0,2048,2026-07-31T06:50:22.498131+00:00,2026-07-31T06:50:31.822559+00:00,False,False,True,0,True
24,0,not_safety,24_massage_mi_bed_mi mi,81,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-xuQ66gaR1ShtyPL7ZyKh9T8s,1.0,2048,2026-07-31T06:50:31.824668+00:00,2026-07-31T06:50:47.906125+00:00,False,False,True,0,True
25,4,risk_assessment,25_industrial robot_industrial_tool_work,79,0,not_safety,"[filtered] LLM(2, conf=0.90) without keyword support; treated as not_safety.",2.0,risk_assessment,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-of5qgg1zrlVoku5MNxL6ZqXg,1.0,2048,2026-07-31T06:50:37.332481+00:00,2026-07-31T06:50:55.181653+00:00,True,False,False,-4,False
26,0,not_safety,26_face_image_video_frame,76,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-JkPE3K7eW7njgeS8v1P4JTyR,1.0,2048,2026-07-31T06:50:38.553627+00:00,2026-07-31T06:50:44.416394+00:00,False,False,True,0,True
27,3,safe_control,27_path_navigation_obstacle_point,74,3,collision_protection,"[agreement] LLM(4) + keyword(2): The abstract describes predicting dynamic obstacle trajectories, identifying traffic conflict areas with humans, and selecting paths via multi-dimensional safety assessment of collision, fall, and energy-consumption risks.",4.0,collision_protection,0.9,2,collision_protection,"obstacle avoidance, collision, safety assessment, balance",agreement,True,,kimi-for-coding,kimi-for-coding,chatcmpl-aRGMTwwURK2eIm6lTsJvnNBq,1.0,2048,2026-07-31T06:50:38.743966+00:00,2026-07-31T06:51:04.645037+00:00,True,True,True,0,False
28,2,safe_control,28_tobacco_robotic_operation_shelf,63,1,not_safety,"[llm_low] Impedance and force control are used for flexible assembly operations in manufacturing, not for protecting humans or preventing hazardous human-robot contact.",1.0,not_safety,0.9,1,force_control,"force sensor, impedance",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-E3pGJgm2zRJFnW3DBZ35AF8L,1.0,2048,2026-07-31T06:50:44.416394+00:00,2026-07-31T06:50:53.157386+00:00,True,False,False,-1,False
29,3,collision_protection,29_module_intelligent_service_display,63,3,safety_monitoring,"[agreement] LLM(3) + keyword(3): The abstract mentions anti-collision switches, emergency stop switches, and obstacle avoidance, but the overall system is for shoe/clothing display and interactive promotion, making safety peripheral.",3.0,safety_monitoring,0.85,3,collision_protection,"anti-collision, obstacle avoidance, collision, emergency stop",agreement,True,,kimi-for-coding,kimi-for-coding,chatcmpl-gVOxosbOXJu3C3Kf8BPsFTIt,1.0,2048,2026-07-31T06:50:47.906125+00:00,2026-07-31T06:50:55.937600+00:00,True,True,True,0,False
30,1,thermal_management,30_inspection_detection_disease_tunnel,57,1,thermal_management,[keyword_low] Matched: thermal,0.0,not_safety,0.95,1,thermal_management,thermal,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-P8wYlZvErygEonUle81LcgG7,1.0,2048,2026-07-31T06:50:53.157386+00:00,2026-07-31T06:50:59.052849+00:00,False,False,True,0,True
31,0,not_safety,31_lamp_light_display_led,57,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-MiRcdIFqMKt06Vyif7wsHddF,1.0,2048,2026-07-31T06:50:55.181653+00:00,2026-07-31T06:51:01.401179+00:00,False,False,True,0,True
32,2,safe_control,32_action_data_sequence_motion,56,2,safe_control,"[agreement] LLM(2) + keyword(2): Includes self-collision avoidance and balance control during imitation, but the primary purpose is motion mapping/remote control rather than explicit human protection.",2.0,safe_control,0.75,2,collision_protection,"collision avoidance, collision, balance control, balance",agreement,True,,kimi-for-coding,kimi-for-coding,chatcmpl-6GdRZCjTN1uc2LwPv6YyiSxU,1.0,2048,2026-07-31T06:50:55.938600+00:00,2026-07-31T06:51:06.650691+00:00,True,True,True,0,True
33,2,collision_protection,33_path_grid_map_point,56,2,collision_protection,[agreement] LLM(2) + keyword(2): Obstacle avoidance and path planning for quadruped robots are indirectly safety-relevant but primarily navigation/motion planning rather than explicit humanoid human-protection safety mechanism.,2.0,collision_protection,0.85,2,collision_protection,obstacle avoidance,agreement,True,,kimi-for-coding,kimi-for-coding,chatcmpl-5acleI4VZpIsD4iDVaDhHQ2o,1.0,2048,2026-07-31T06:50:59.052849+00:00,2026-07-31T06:51:07.138543+00:00,True,True,True,0,True
34,0,not_safety,34_commands_position sensor_position velocity_velocity,53,4,stability_balance,"[llm_low] The abstract describes tilt, no-tilt, and landing state controllers for maintaining balance and preventing falls in a humanoid robot on an omnidirectional mobile base.",4.0,stability_balance,0.9,0,not_safety,,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-MXT2Z4YtjbxjGihGkrPSmtfD,1.0,2048,2026-07-31T06:51:01.401179+00:00,2026-07-31T06:51:08.707162+00:00,False,True,False,4,False
35,0,not_safety,35_image_chess_point cloud_cloud,52,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-6SAF1GKz7oUHg4KlQr5TTovO,1.0,2048,2026-07-31T06:51:04.645037+00:00,2026-07-31T06:51:09.632585+00:00,False,False,True,0,True
36,0,not_safety,36_welding_welding robot_straightening_mechanical,51,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-qix9sVfHFegIxuHwxB4kO5kO,1.0,2048,2026-07-31T06:51:06.651728+00:00,2026-07-31T06:51:25.892781+00:00,False,False,True,0,True
37,2,stability_balance,37_foot_sole_heel_arch,50,2,stability_balance,"[llm_low] The foot's elastic buffers and ground sensors aid stability and impact absorption, but the abstract primarily describes mechanical gait, energy efficiency, and terrain adaptation rather than explicit human protection.",2.0,stability_balance,0.85,1,force_control,force sensor,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-aiadWVWwyI2iqNp7iLRBLqyX,1.0,2048,2026-07-31T06:51:07.139047+00:00,2026-07-31T06:51:26.341241+00:00,True,True,True,0,True
38,0,not_safety,38_control_robot_core_nios,50,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-A5423wTXGs3cZJw4UwTblT3a,1.0,2048,2026-07-31T06:51:08.707162+00:00,2026-07-31T06:51:52.883799+00:00,False,False,True,0,True
39,0,not_safety,39_picking_mechanism_device_cake,50,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-f2dhJqIAAKEWyylJ4hLqn93k,1.0,2048,2026-07-31T06:51:09.634471+00:00,2026-07-31T06:51:23.747674+00:00,False,False,True,0,True
40,3,stability_balance,40_wheel_leg_wheel leg_wheel legged,50,2,stability_balance,"[llm_low] The abstract describes a balance-control algorithm for a wheel-legged robot to improve stability during balance adjustment, but it does not explicitly mention a humanoid form or a human-protection/hazard-prevention purpose.",2.0,stability_balance,0.85,1,stability_balance,"balance control, balance",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-fswHpPjykOUq6hQkDKBmh4jX,1.0,2048,2026-07-31T06:51:23.747674+00:00,2026-07-31T06:51:45.626866+00:00,True,True,True,-1,True
41,0,not_safety,41_image_detection_human_human shape,46,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-MEmsgaR2eT4nMhkqbyHs88Jx,1.0,2048,2026-07-31T06:51:25.893290+00:00,2026-07-31T06:51:39.904143+00:00,False,False,True,0,True
42,0,not_safety,42_service_user_information_module,46,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-d9SXTMvs1m0tGqCyz24b1Pgu,1.0,2048,2026-07-31T06:51:26.341241+00:00,2026-07-31T06:51:37.770048+00:00,False,False,True,0,True
43,1,thermal_management,43_monitoring_image_camera_area,44,1,thermal_management,[keyword_low] Matched: thermal,0.0,not_safety,0.9,1,thermal_management,thermal,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-h4tKjZ9NPo9WWrYebDLw1ZHK,1.0,2048,2026-07-31T06:51:37.771060+00:00,2026-07-31T06:51:46.320137+00:00,False,False,True,0,True
44,1,fail_safe_emergency,44_control_module_communication_humanoid robot,43,1,not_safety,"[llm_low] The abstract describes a generic wireless servo-control module for a humanoid robot, emphasizing low cost and stability rather than any human-protection safety mechanism.",1.0,not_safety,0.9,1,fail_safe_emergency,"emergency stop, stability",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-9OnpGeYuFcwMcAnehHs2Txfp,1.0,2048,2026-07-31T06:51:39.905322+00:00,2026-07-31T06:51:46.438558+00:00,False,False,True,0,False
45,0,not_safety,45_legged robot_legged_desired trajectory_trajectory,42,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-dPFdVoqQCFhr4kWoxvPBL3e0,1.0,2048,2026-07-31T06:51:45.627870+00:00,2026-07-31T06:52:03.774242+00:00,False,False,True,0,True
46,0,not_safety,46_module_signal_household_internet things,41,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-HKX9y824nNA7ojfQwyXXRFI3,1.0,2048,2026-07-31T06:51:46.320137+00:00,2026-07-31T06:51:51.043919+00:00,False,False,True,0,True
47,4,fault_detection,47_fault_health_state_data,41,2,fault_detection,"[agreement] LLM(2) + keyword(3): State monitoring includes posture dynamics and fault/fall-related terms, but the abstract frames the purpose as anthropomorphic health status and user experience rather than explicit human protection or hazard prevention.",2.0,fault_detection,0.7,3,fault_detection,"fault diagnosis, diagnosis",agreement,True,,kimi-for-coding,kimi-for-coding,chatcmpl-BjrXubwvnBikaeM7pYXtuHot,1.0,2048,2026-07-31T06:51:46.439071+00:00,2026-07-31T06:52:25.866490+00:00,True,True,True,-2,True
48,0,not_safety,48_rehabilitation_exoskeleton_training_module,40,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-r9aLOdyVAVD2JMGUpLpzrE6n,1.0,2048,2026-07-31T06:51:51.044934+00:00,2026-07-31T06:52:05.473968+00:00,False,False,True,0,True
49,0,not_safety,49_circuit_power_battery_supply,40,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-WjKN9QFwjl4JXhHHPfonW8Ni,1.0,2048,2026-07-31T06:51:52.884807+00:00,2026-07-31T06:52:16.031988+00:00,False,False,True,0,True
50,0,not_safety,50_image_detection_monitoring_human,39,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-fJM927WeE3HBvcX4AyeDvBSN,1.0,2048,2026-07-31T06:52:03.775155+00:00,2026-07-31T06:52:12.276000+00:00,False,False,True,0,True
51,0,not_safety,51_pedestrian_video_target_image,39,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-fhPYV6igAa3vRrWCdjE24VIt,1.0,2048,2026-07-31T06:52:05.474795+00:00,2026-07-31T06:52:15.558292+00:00,False,False,True,0,True
52,1,stability_balance,52_dog_robot dog_box_shaped cover,36,1,not_safety,"[llm_low] The abstract describes a gait optimization method for quadruped robot dogs focused on energy efficiency, walking speed, and smoothness, with no explicit human-protection or hazard-prevention purpose.",1.0,not_safety,0.95,1,stability_balance,stability,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-EgCXpxpbKrWSglaCl6ONtmCq,1.0,2048,2026-07-31T06:52:12.276000+00:00,2026-07-31T06:52:35.917601+00:00,False,False,True,0,False
53,1,stability_balance,53_image_detection_human_target,35,1,stability_balance,"[keyword_low] Matched: fall detection, thermal",0.0,not_safety,0.95,1,stability_balance,"fall detection, thermal",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-40FQlV5gWYqeGWrQagPhwUt2,1.0,2048,2026-07-31T06:52:15.558292+00:00,2026-07-31T06:52:26.223050+00:00,False,False,True,0,True
54,0,not_safety,54_unmanned_aerial_unmanned aerial_unmanned boat,34,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-TqZGwNtXrggW55PsPOBYHRap,1.0,2048,2026-07-31T06:52:16.032656+00:00,2026-07-31T06:52:23.156076+00:00,False,False,True,0,True
55,0,not_safety,55_respective object_respective_self location_object,34,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-sjAI9qrNTKO4l7aRSajd3XDj,1.0,2048,2026-07-31T06:52:23.158115+00:00,2026-07-31T06:52:39.347788+00:00,False,False,True,0,True
56,0,not_safety,56_information pairs_pairs_ml_spatial,32,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-MN2Qav7npO27WxQm7EmIEuA1,1.0,2048,2026-07-31T06:52:25.866490+00:00,2026-07-31T06:52:35.933036+00:00,False,False,True,0,True
57,0,not_safety,57_strategy_training_network_strategy network,32,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-ae6WGglGV87G7aY0kfUlryMQ,1.0,2048,2026-07-31T06:52:26.224576+00:00,2026-07-31T06:52:35.312129+00:00,False,False,True,0,True
58,0,not_safety,58_stimuli_events_allows_end effector,31,0,not_safety,"[filtered] LLM(1, conf=0.85) without keyword support; treated as not_safety.",1.0,not_safety,0.85,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-oSHLtRORAAnFn46RH868OB5q,1.0,2048,2026-07-31T06:52:35.312129+00:00,2026-07-31T06:52:41.081854+00:00,False,False,True,0,True
59,0,not_safety,59_breathing_mask_experiment_respirator,30,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-vJeU6WTevH2zbeyGg1SIvgRJ,1.0,2048,2026-07-31T06:52:35.918607+00:00,2026-07-31T06:52:49.435989+00:00,False,False,True,0,True
60,0,not_safety,60_target_rescue_aid_extinguishing,30,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-Yis6ieJyVvHN01vE4cNqpVCr,1.0,2048,2026-07-31T06:52:35.934037+00:00,2026-07-31T06:52:58.625654+00:00,False,False,True,0,True
61,0,not_safety,61_food_food weight_weight_feeder,30,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-r6kGCUNZhPTtwPDX8f7buota,1.0,2048,2026-07-31T06:52:39.349117+00:00,2026-07-31T06:52:49.342412+00:00,False,False,True,0,True
62,3,collision_protection,62_electrode_measurement electrode_108_elements,29,2,collision_protection,"[agreement] LLM(3) + keyword(2): The abstracts describe a robot gripper with force/moment sensors and collision monitoring that actuates the drive unit on detected contact, but they do not mention a humanoid robot or human-protection purpose.",3.0,collision_protection,0.8,2,collision_protection,collision,agreement,True,,kimi-for-coding,kimi-for-coding,chatcmpl-CU8dHCRTbYG3mFpqMgRdpCc6,1.0,2048,2026-07-31T06:52:41.082517+00:00,2026-07-31T06:53:21.615631+00:00,True,True,True,-1,True
