bertopic_id,bertopic_name,bertopic_count,safety_score,safety_category,rationale,llm_score,llm_category,llm_confidence,keyword_score,keyword_category,keyword_matched,fusion_rule,api_ok,api_error,requested_model,response_model,response_id,request_temperature,request_max_tokens,started_at_utc,finished_at_utc
35,35_image_chess_point cloud_cloud,52,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-6SAF1GKz7oUHg4KlQr5TTovO,1.0,2048,2026-07-31T06:51:04.645037+00:00,2026-07-31T06:51:09.632585+00:00
36,36_welding_welding robot_straightening_mechanical,51,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-qix9sVfHFegIxuHwxB4kO5kO,1.0,2048,2026-07-31T06:51:06.651728+00:00,2026-07-31T06:51:25.892781+00:00
37,37_foot_sole_heel_arch,50,2,stability_balance,"[llm_low] The foot's elastic buffers and ground sensors aid stability and impact absorption, but the abstract primarily describes mechanical gait, energy efficiency, and terrain adaptation rather than explicit human protection.",2.0,stability_balance,0.85,1,force_control,force sensor,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-aiadWVWwyI2iqNp7iLRBLqyX,1.0,2048,2026-07-31T06:51:07.139047+00:00,2026-07-31T06:51:26.341241+00:00
38,38_control_robot_core_nios,50,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-A5423wTXGs3cZJw4UwTblT3a,1.0,2048,2026-07-31T06:51:08.707162+00:00,2026-07-31T06:51:52.883799+00:00
39,39_picking_mechanism_device_cake,50,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-f2dhJqIAAKEWyylJ4hLqn93k,1.0,2048,2026-07-31T06:51:09.634471+00:00,2026-07-31T06:51:23.747674+00:00
40,40_wheel_leg_wheel leg_wheel legged,50,2,stability_balance,"[llm_low] The abstract describes a balance-control algorithm for a wheel-legged robot to improve stability during balance adjustment, but it does not explicitly mention a humanoid form or a human-protection/hazard-prevention purpose.",2.0,stability_balance,0.85,1,stability_balance,"balance control, balance",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-fswHpPjykOUq6hQkDKBmh4jX,1.0,2048,2026-07-31T06:51:23.747674+00:00,2026-07-31T06:51:45.626866+00:00
41,41_image_detection_human_human shape,46,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-MEmsgaR2eT4nMhkqbyHs88Jx,1.0,2048,2026-07-31T06:51:25.893290+00:00,2026-07-31T06:51:39.904143+00:00
42,42_service_user_information_module,46,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-d9SXTMvs1m0tGqCyz24b1Pgu,1.0,2048,2026-07-31T06:51:26.341241+00:00,2026-07-31T06:51:37.770048+00:00
43,43_monitoring_image_camera_area,44,1,thermal_management,[keyword_low] Matched: thermal,0.0,not_safety,0.9,1,thermal_management,thermal,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-h4tKjZ9NPo9WWrYebDLw1ZHK,1.0,2048,2026-07-31T06:51:37.771060+00:00,2026-07-31T06:51:46.320137+00:00
44,44_control_module_communication_humanoid robot,43,1,not_safety,"[llm_low] The abstract describes a generic wireless servo-control module for a humanoid robot, emphasizing low cost and stability rather than any human-protection safety mechanism.",1.0,not_safety,0.9,1,fail_safe_emergency,"emergency stop, stability",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-9OnpGeYuFcwMcAnehHs2Txfp,1.0,2048,2026-07-31T06:51:39.905322+00:00,2026-07-31T06:51:46.438558+00:00
45,45_legged robot_legged_desired trajectory_trajectory,42,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-dPFdVoqQCFhr4kWoxvPBL3e0,1.0,2048,2026-07-31T06:51:45.627870+00:00,2026-07-31T06:52:03.774242+00:00
46,46_module_signal_household_internet things,41,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-HKX9y824nNA7ojfQwyXXRFI3,1.0,2048,2026-07-31T06:51:46.320137+00:00,2026-07-31T06:51:51.043919+00:00
47,47_fault_health_state_data,41,2,fault_detection,"[agreement] LLM(2) + keyword(3): State monitoring includes posture dynamics and fault/fall-related terms, but the abstract frames the purpose as anthropomorphic health status and user experience rather than explicit human protection or hazard prevention.",2.0,fault_detection,0.7,3,fault_detection,"fault diagnosis, diagnosis",agreement,True,,kimi-for-coding,kimi-for-coding,chatcmpl-BjrXubwvnBikaeM7pYXtuHot,1.0,2048,2026-07-31T06:51:46.439071+00:00,2026-07-31T06:52:25.866490+00:00
48,48_rehabilitation_exoskeleton_training_module,40,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-r9aLOdyVAVD2JMGUpLpzrE6n,1.0,2048,2026-07-31T06:51:51.044934+00:00,2026-07-31T06:52:05.473968+00:00
49,49_circuit_power_battery_supply,40,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-WjKN9QFwjl4JXhHHPfonW8Ni,1.0,2048,2026-07-31T06:51:52.884807+00:00,2026-07-31T06:52:16.031988+00:00
50,50_image_detection_monitoring_human,39,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-fJM927WeE3HBvcX4AyeDvBSN,1.0,2048,2026-07-31T06:52:03.775155+00:00,2026-07-31T06:52:12.276000+00:00
51,51_pedestrian_video_target_image,39,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-fhPYV6igAa3vRrWCdjE24VIt,1.0,2048,2026-07-31T06:52:05.474795+00:00,2026-07-31T06:52:15.558292+00:00
52,52_dog_robot dog_box_shaped cover,36,1,not_safety,"[llm_low] The abstract describes a gait optimization method for quadruped robot dogs focused on energy efficiency, walking speed, and smoothness, with no explicit human-protection or hazard-prevention purpose.",1.0,not_safety,0.95,1,stability_balance,stability,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-EgCXpxpbKrWSglaCl6ONtmCq,1.0,2048,2026-07-31T06:52:12.276000+00:00,2026-07-31T06:52:35.917601+00:00
53,53_image_detection_human_target,35,1,stability_balance,"[keyword_low] Matched: fall detection, thermal",0.0,not_safety,0.95,1,stability_balance,"fall detection, thermal",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-40FQlV5gWYqeGWrQagPhwUt2,1.0,2048,2026-07-31T06:52:15.558292+00:00,2026-07-31T06:52:26.223050+00:00
54,54_unmanned_aerial_unmanned aerial_unmanned boat,34,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-TqZGwNtXrggW55PsPOBYHRap,1.0,2048,2026-07-31T06:52:16.032656+00:00,2026-07-31T06:52:23.156076+00:00
55,55_respective object_respective_self location_object,34,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-sjAI9qrNTKO4l7aRSajd3XDj,1.0,2048,2026-07-31T06:52:23.158115+00:00,2026-07-31T06:52:39.347788+00:00
56,56_information pairs_pairs_ml_spatial,32,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-MN2Qav7npO27WxQm7EmIEuA1,1.0,2048,2026-07-31T06:52:25.866490+00:00,2026-07-31T06:52:35.933036+00:00
57,57_strategy_training_network_strategy network,32,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-ae6WGglGV87G7aY0kfUlryMQ,1.0,2048,2026-07-31T06:52:26.224576+00:00,2026-07-31T06:52:35.312129+00:00
58,58_stimuli_events_allows_end effector,31,0,not_safety,"[filtered] LLM(1, conf=0.85) without keyword support; treated as not_safety.",1.0,not_safety,0.85,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-oSHLtRORAAnFn46RH868OB5q,1.0,2048,2026-07-31T06:52:35.312129+00:00,2026-07-31T06:52:41.081854+00:00
59,59_breathing_mask_experiment_respirator,30,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-vJeU6WTevH2zbeyGg1SIvgRJ,1.0,2048,2026-07-31T06:52:35.918607+00:00,2026-07-31T06:52:49.435989+00:00
60,60_target_rescue_aid_extinguishing,30,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-Yis6ieJyVvHN01vE4cNqpVCr,1.0,2048,2026-07-31T06:52:35.934037+00:00,2026-07-31T06:52:58.625654+00:00
61,61_food_food weight_weight_feeder,30,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-r6kGCUNZhPTtwPDX8f7buota,1.0,2048,2026-07-31T06:52:39.349117+00:00,2026-07-31T06:52:49.342412+00:00
62,62_electrode_measurement electrode_108_elements,29,2,collision_protection,"[agreement] LLM(3) + keyword(2): The abstracts describe a robot gripper with force/moment sensors and collision monitoring that actuates the drive unit on detected contact, but they do not mention a humanoid robot or human-protection purpose.",3.0,collision_protection,0.8,2,collision_protection,collision,agreement,True,,kimi-for-coding,kimi-for-coding,chatcmpl-CU8dHCRTbYG3mFpqMgRdpCc6,1.0,2048,2026-07-31T06:52:41.082517+00:00,2026-07-31T06:53:21.615631+00:00
63,63_primitives_minimanipulations_actions_movements,29,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-sRtkSkMPglDGzmaCTY0AOhhu,1.0,2048,2026-07-31T06:52:49.342412+00:00,2026-07-31T06:52:54.266010+00:00
64,64_charging_wireless_wireless electromagnetic_electromagnetic,29,2,not_safety,"[llm_low] The abstracts describe automated charging infrastructure for humanoid robots; improved 'safety' refers to safe electrical connection and cable management, not protection of humans from robot hazards.",2.0,not_safety,0.75,1,thermal_management,"heat dissipation, cooling",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-0vGTYB6c3hXH6ecxkc6L5FGo,1.0,2048,2026-07-31T06:52:49.435989+00:00,2026-07-31T06:52:52.310129+00:00
65,65_social_reasoning_instruction_remote,29,5,safe_control,"[llm_low] The abstract explicitly describes a remote control method for humanoid robots that identifies prohibited actions, constructs paradox verification scenarios, generates safe unlocking sequences, and uses interlocking verification to realize intelligent and safe remote control.",5.0,safe_control,0.95,0,not_safety,,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-KAo2KWv0jeJYnLCkUGxXYEsc,1.0,2048,2026-07-31T06:52:52.310129+00:00,2026-07-31T06:52:58.002357+00:00
66,66_magnetic_powder_material_adhesive,29,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-Z4kiFqhuADsEUxYP8apBTJn3,1.0,2048,2026-07-31T06:52:54.266010+00:00,2026-07-31T06:53:06.941081+00:00
67,67_dance_music_playing_piano,28,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-8Z49XlvMFT625dAOdf8EhHGo,1.0,2048,2026-07-31T06:52:58.002357+00:00,2026-07-31T06:53:03.168883+00:00
68,68_animation_bone_skeleton_digital,27,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-FWCUlzCDlCPq9oNuHEC8a89E,1.0,2048,2026-07-31T06:52:58.626669+00:00,2026-07-31T06:53:02.541827+00:00
