bertopic_id,bertopic_name,bertopic_count,safety_score,safety_category,rationale,llm_score,llm_category,llm_confidence,keyword_score,keyword_category,keyword_matched,fusion_rule,llm_model
29,29_module_intelligent_service_display,63,3,collision_protection,"[agreement] LLM(3) + keyword(3): Includes anti-collision switch and emergency stop switch, but the primary purpose is display and navigation, not explicit human protection.",3,collision_protection,0.8,3,collision_protection,"anti-collision, obstacle avoidance, collision, emergency stop",agreement,deepseek-chat
30,30_inspection_detection_disease_tunnel,57,1,thermal_management,[keyword_low] Matched: thermal,0,not_safety,0.95,1,thermal_management,thermal,low_max,deepseek-chat
31,31_lamp_light_display_led,57,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
32,32_action_data_sequence_motion,56,2,safe_control,"[agreement] LLM(2) + keyword(2): Includes balance control and self-collision avoidance for stability, but the primary focus is motion imitation, not explicit human protection.",2,safe_control,0.8,2,collision_protection,"collision avoidance, collision, balance control, balance",agreement,deepseek-chat
33,33_path_grid_map_point,56,2,collision_protection,"[agreement] LLM(3) + keyword(2): Obstacle avoidance path planning for quadruped robots, which is safety-relevant but not explicitly human-protection focused.",3,collision_protection,0.8,2,collision_protection,obstacle avoidance,agreement,deepseek-chat
34,34_commands_position sensor_position velocity_velocity,53,0,not_safety,"[filtered] LLM(3, conf=0.85) without keyword support; treated as not_safety.",3,stability_balance,0.85,0,not_safety,,filtered,deepseek-chat
35,35_image_chess_point cloud_cloud,52,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
36,36_welding_welding robot_straightening_mechanical,51,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
37,37_foot_sole_heel_arch,50,2,stability_balance,"[llm_low] The foot design includes elastic buffers and sensors for terrain adaptation and gait stability, which indirectly supports fall prevention, but the primary focus is on mechanical structure and gait efficiency rather than explicit human safety.",2,stability_balance,0.8,1,force_control,force sensor,low_max,deepseek-chat
38,38_control_robot_core_nios,50,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
39,39_picking_mechanism_device_cake,50,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
40,40_wheel_leg_wheel leg_wheel legged,50,3,stability_balance,"[llm_low] Balance control for wheel-legged robots improves stability, which indirectly prevents falls and enhances safety, but the abstract does not explicitly mention human protection or hazard prevention.",3,stability_balance,0.85,1,stability_balance,"balance control, balance",low_max,deepseek-chat
41,41_image_detection_human_human shape,46,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
42,42_service_user_information_module,46,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
43,43_monitoring_image_camera_area,44,1,thermal_management,[keyword_low] Matched: thermal,0,not_safety,0.95,1,thermal_management,thermal,low_max,deepseek-chat
44,44_control_module_communication_humanoid robot,43,1,fail_safe_emergency,"[keyword_low] Matched: emergency stop, stability",0,not_safety,0.95,1,fail_safe_emergency,"emergency stop, stability",low_max,deepseek-chat
45,45_legged robot_legged_desired trajectory_trajectory,42,0,not_safety,"[filtered] LLM(2, conf=0.80) without keyword support; treated as not_safety.",2,safe_control,0.8,0,not_safety,,filtered,deepseek-chat
46,46_module_signal_household_internet things,41,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
47,47_fault_health_state_data,41,4,fault_detection,"[agreement] LLM(4) + keyword(3): The abstract describes monitoring multi-modal data (energy, environment, posture) to determine health status and update state, which is a fault detection and health monitoring mechanism for humanoid robots.",4,fault_detection,0.9,3,fault_detection,"fault diagnosis, diagnosis",agreement,deepseek-chat
48,48_rehabilitation_exoskeleton_training_module,40,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
49,49_circuit_power_battery_supply,40,0,not_safety,"[filtered] LLM(2, conf=0.80) without keyword support; treated as not_safety.",2,fault_detection,0.8,0,not_safety,,filtered,deepseek-chat
50,50_image_detection_monitoring_human,39,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
51,51_pedestrian_video_target_image,39,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
52,52_dog_robot dog_box_shaped cover,36,1,stability_balance,[keyword_low] Matched: stability,0,not_safety,0.95,1,stability_balance,stability,low_max,deepseek-chat
53,53_image_detection_human_target,35,1,stability_balance,"[keyword_low] Matched: fall detection, thermal",0,not_safety,0.95,1,stability_balance,"fall detection, thermal",low_max,deepseek-chat
54,54_unmanned_aerial_unmanned aerial_unmanned boat,34,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
55,55_respective object_respective_self location_object,34,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
56,56_information pairs_pairs_ml_spatial,32,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
57,57_strategy_training_network_strategy network,32,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
58,58_stimuli_events_allows_end effector,31,0,not_safety,"[filtered] LLM(1, conf=0.80) without keyword support; treated as not_safety.",1,safe_control,0.8,0,not_safety,,filtered,deepseek-chat
59,59_breathing_mask_experiment_respirator,30,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
60,60_target_rescue_aid_extinguishing,30,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
61,61_food_food weight_weight_feeder,30,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
62,62_electrode_measurement electrode_108_elements,29,3,collision_protection,"[agreement] LLM(4) + keyword(2): Explicitly describes collision monitoring and force sensing for a robot gripper, with control actions upon collision detection.",4,collision_protection,0.95,2,collision_protection,collision,agreement,deepseek-chat
63,63_primitives_minimanipulations_actions_movements,29,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
64,64_charging_wireless_wireless electromagnetic_electromagnetic,29,1,thermal_management,"[keyword_low] Matched: heat dissipation, cooling",0,not_safety,0.95,1,thermal_management,"heat dissipation, cooling",low_max,deepseek-chat
65,65_social_reasoning_instruction_remote,29,4,safe_control,"[llm_low] The abstract explicitly describes generating safe control sequences, prohibited action sets, and paradox verification to ensure safe remote control of humanoid robots.",4,safe_control,0.9,0,not_safety,,low_max,deepseek-chat
66,66_magnetic_powder_material_adhesive,29,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
67,67_dance_music_playing_piano,28,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
68,68_animation_bone_skeleton_digital,27,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
69,69_embodiments_agricultural_various embodiments_interfaces,27,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
70,70_elevator_main elevator_floor_secondary elevator,26,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
71,71_moving_double mechanical_mechanical_double,26,1,force_control,[keyword_low] Matched: force sensor,0,not_safety,0.95,1,force_control,force sensor,low_max,deepseek-chat
72,72_cleaning_mechanism_chassis_cleaning mechanism,26,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
73,73_power_supply_power supply_battery,26,1,stability_balance,[keyword_low] Matched: stability,0,not_safety,0.95,1,stability_balance,stability,low_max,deepseek-chat
74,74_target_foot_state data_landing,25,2,stability_balance,"[llm_low] The abstracts describe motion control for legged robots with constraints on centroid and foot contact, which indirectly relates to stability and fall prevention, but no explicit human safety or hazard prevention is mentioned.",2,stability_balance,0.8,1,force_control,contact force,low_max,deepseek-chat
75,75_chair_group_handle_movable,25,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
76,76_elements_elements articulation_articulation_given,25,4,force_control,"[llm_override conf=0.95] The switch detects excessive force at joint end-of-travel, enabling force-limiting safety for humanoid robots.",4,force_control,0.95,0,not_safety,,llm_override,deepseek-chat
